snapshot_time_utc,batch_no,field_no,field_name,dm_address,data_type,scale,raw_words,raw_hex_words,raw_dword_hex,decoded_value,normalized_value,decode_error
2026-03-06T13:47:18.627768+00:00,1,1,BATCH,D6000,INT,1,1,0001,,1,1,
2026-03-06T13:47:18.627768+00:00,1,2,NO-MO,D6001-6008,ASCII,,22344|12109|20271|12336|12337|12544|0|0,5748 2F4D 4F2F 3030 3031 3100 0000 0000,2F4D5748,WH/MO/00011,WH/MO/00011,
2026-03-06T13:47:18.627768+00:00,1,3,NO-BoM,D6009-6016,ASCII,,23345|12336|14642|23840|19014|8275|16720|20308,5B31 3030 3932 5D20 4A46 2053 4150 4F54,30305B31,[10092] JF SAPOT,[10092] JF SAPOT,
2026-03-06T13:47:18.627768+00:00,1,4,finished_goods,D6017-6024,ASCII,,23345|12336|14642|23840|19014|8275|16720|20308,5B31 3030 3932 5D20 4A46 2053 4150 4F54,30305B31,[10092] JF SAPOT,[10092] JF SAPOT,
2026-03-06T13:47:18.627768+00:00,1,5,Quantity Goods_id,D6025-6026,REAL,100,1|34464,0001 86A0,86A00001,1000.0,1000.0,
2026-03-06T13:47:18.627768+00:00,1,6,SILO ID 101 (SILO BESAR),D6027,INT,1,101,0065,,101,101,
2026-03-06T13:47:18.627768+00:00,1,7,SILO ID 101 Consumption,D6028-6029,REAL,100,0|8000,0000 1F40,1F400000,80.0,80.0,
2026-03-06T13:47:18.627768+00:00,1,8,SILO ID 102 (SILO BESAR),D6030,INT,1,102,0066,,102,102,
2026-03-06T13:47:18.627768+00:00,1,9,SILO ID 102 Consumption,D6031-6032,REAL,100,0|13700,0000 3584,35840000,137.0,137.0,
2026-03-06T13:47:18.627768+00:00,1,10,SILO ID 103 (SILO BESAR),D6033,INT,1,103,0067,,103,103,
2026-03-06T13:47:18.627768+00:00,1,11,SILO ID 103 Consumption,D6034-6035,REAL,100,0|35300,0000 89E4,89E40000,353.0,353.0,
2026-03-06T13:47:18.627768+00:00,1,12,SILO ID 104,D6036,INT,1,104,0068,,104,104,
2026-03-06T13:47:18.627768+00:00,1,13,SILO ID 104 Consumption,D6037-6038,REAL,100,0|0,0000 0000,00000000,0.0,0.0,
2026-03-06T13:47:18.627768+00:00,1,14,SILO ID 105,D6039,INT,1,105,0069,,105,105,
2026-03-06T13:47:18.627768+00:00,1,15,SILO ID 105 Consumption,D6040-6041,REAL,100,0|1000,0000 03E8,03E80000,10.0,10.0,
2026-03-06T13:47:18.627768+00:00,1,16,SILO ID 106,D6042,INT,1,106,006A,,106,106,
2026-03-06T13:47:18.627768+00:00,1,17,SILO ID 106 Consumption,D6043-6044,REAL,100,0|0,0000 0000,00000000,0.0,0.0,
2026-03-06T13:47:18.627768+00:00,1,18,SILO ID 107,D6045,INT,1,107,006B,,107,107,
2026-03-06T13:47:18.627768+00:00,1,19,SILO ID 107 Consumption,D6046-6047,REAL,100,0|0,0000 0000,00000000,0.0,0.0,
2026-03-06T13:47:18.627768+00:00,1,20,SILO ID 108,D6048,INT,1,108,006C,,108,108,
2026-03-06T13:47:18.627768+00:00,1,21,SILO ID 108 Consumption,D6049-6050,REAL,100,0|0,0000 0000,00000000,0.0,0.0,
2026-03-06T13:47:18.627768+00:00,1,22,SILO ID 109,D6051,INT,1,109,006D,,109,109,
2026-03-06T13:47:18.627768+00:00,1,23,SILO ID 109 Consumption,D6052-6053,REAL,100,0|22000,0000 55F0,55F00000,220.0,220.0,
2026-03-06T13:47:18.627768+00:00,1,24,SILO ID 110,D6054,INT,1,110,006E,,110,110,
2026-03-06T13:47:18.627768+00:00,1,25,SILO ID 110 Consumption,D6055-6056,REAL,100,0|10700,0000 29CC,29CC0000,107.0,107.0,
2026-03-06T13:47:18.627768+00:00,1,26,SILO ID 111,D6057,INT,1,111,006F,,111,111,
2026-03-06T13:47:18.627768+00:00,1,27,SILO ID 111 Consumption,D6058-6059,REAL,100,0|12000,0000 2EE0,2EE00000,120.0,120.0,
2026-03-06T13:47:18.627768+00:00,1,28,SILO ID 112,D6060,INT,1,112,0070,,112,112,
2026-03-06T13:47:18.627768+00:00,1,29,SILO ID 112 Consumption,D6061-6062,REAL,100,0|0,0000 0000,00000000,0.0,0.0,
2026-03-06T13:47:18.627768+00:00,1,30,SILO ID 113,D6063,INT,1,113,0071,,113,113,
2026-03-06T13:47:18.627768+00:00,1,31,SILO ID 113 Consumption,D6064-6065,REAL,100,0|0,0000 0000,00000000,0.0,0.0,
2026-03-06T13:47:18.627768+00:00,1,32,LQ ID 114,D6066,INT,1,114,0072,,114,114,
2026-03-06T13:47:18.627768+00:00,1,33,LQ ID 114 Consumption,D6067-6068,REAL,100,0|4000,0000 0FA0,0FA00000,40.0,40.0,
2026-03-06T13:47:18.627768+00:00,1,34,LQ ID 115,D6069,INT,1,115,0073,,115,115,
2026-03-06T13:47:18.627768+00:00,1,35,LQ ID 115 Consumption,D6070-6071,REAL,100,0|3000,0000 0BB8,0BB80000,30.0,30.0,
2026-03-06T13:47:18.627768+00:00,1,36,status manufaturing,D6072,boolean,,1,0001,,True,True,
2026-03-06T13:47:18.627768+00:00,1,37,Status Operation,D6073,boolean,,0,0000,,False,False,
2026-03-06T13:47:18.627768+00:00,1,38,weight_finished_good,D6074-6075,REAL,100,32768|17422,8000 440E,440E8000,21475010.7,327.68,
2026-03-06T13:47:18.627768+00:00,1,39,status_read_data,D6076,boolean,,0,0000,,False,False,
